Date,Open,High,Low,Close,Volume,Company,company
2024-11-08,2.6633705048568106,2.674619860316994,2.6695407953164367,2.688186695150565,-0.4336553043219465,price_intu,intu
2024-11-07,2.517621753405192,2.599086031812757,2.554778319276007,2.632464937363261,-0.4305378231545699,price_intu,intu
2024-11-06,2.46977886545725,2.560168021480386,2.504426212901997,2.4899234795081515,-0.4160071958252317,price_intu,intu
2024-11-05,2.34068077106408,2.309612774678597,2.3249733221096416,2.3263549432427384,-0.435639951696691,price_intu,intu
2024-11-04,2.358108458785256,2.3218363187689053,2.3536499388654737,2.327350962746384,-0.4414157488337223,price_intu,intu
2024-11-01,2.258204516434565,2.332031741194005,2.2817903699245896,2.342457258551681,-0.4374254554192066,price_intu,intu
2024-10-31,2.3424013389601197,2.306597999230315,2.3128753744157744,2.2791546856532934,-0.4368418552465659,price_intu,intu
2024-10-30,2.362493131810647,2.348969297803446,2.376501617842777,2.3389711902889205,-0.4423995019236787,price_intu,intu
2024-10-29,2.302550766400233,2.327756241467351,2.3175241228351773,2.3533028042580484,-0.4416644364304233,price_intu,intu
2024-10-28,2.3017182335473105,2.2629111622797518,2.3091787792870933,2.289059546272884,-0.4394596327112589,price_intu,intu
2024-10-25,2.2859556115319792,2.2818220264553406,2.308842725184486,2.273455240715764,-0.443545857902741,price_intu,intu
2024-10-24,2.246604558683846,2.2356137409480312,2.276189468214466,2.244183334191947,-0.4451920438289661,price_intu,intu
2024-10-23,2.274966177873403,2.242191432835193,2.263027349195676,2.2332824540687106,-0.4418832040855731,price_intu,intu
2024-10-22,2.279961374990937,2.2602800855248866,2.2945604258236707,2.27522594205558,-0.4423133330530975,price_intu,intu
2024-10-21,2.2761317238674947,2.273051770605792,2.304810075953197,2.2992410789768205,-0.4427400393925214,price_intu,intu
2024-10-18,2.2378907148232585,2.2720651168227177,2.2656037639823325,2.29569967629719,-0.4393543448156732,price_intu,intu
2024-10-17,2.336351600228884,2.292346333474798,2.3089547432186883,2.2732339030482875,-0.4416567214900327,price_intu,intu
2024-10-16,2.3224760526801767,2.286481224875413,2.30677039155174,2.2741192537181947,-0.4416977369185821,price_intu,intu
2024-10-15,2.340458762303301,2.3137238321080726,2.353257875745765,2.321153508057032,-0.4399178300346409,price_intu,intu
2024-10-14,2.343178369622847,2.2987595830647805,2.336679206683799,2.3171140956255782,-0.4436946861164585,price_intu,intu
2024-10-11,2.3369066221308312,2.309941659272955,2.341888045274214,2.3144580436158555,-0.4396881913271225,price_intu,intu
2024-10-10,2.330357363687842,2.305227646753823,2.3546020921561945,2.3289556608355912,-0.4417609994297854,price_intu,intu
2024-10-09,2.313706706629393,2.307858723508688,2.3300141336487523,2.3417379111323813,-0.4409802474622531,price_intu,intu
2024-10-08,2.2749106756832083,2.267186662006406,2.286383109326891,2.2961423516321444,-0.4407228349693284,price_intu,intu
2024-10-07,2.269471461044115,2.245206208283475,2.268964305008407,2.2356064995772176,-0.4335789825207367,price_intu,intu
2024-10-04,2.2759652172969105,2.266035565926153,2.293664281550051,2.281202059077455,-0.440465590802376,price_intu,intu
2024-10-03,2.2377242082526734,2.225802017216349,2.264371565606105,2.24324264910517,-0.4394874345509938,price_intu,intu
2024-10-02,2.271525042081324,2.256662354986948,2.2888475060793447,2.2624436917587896,-0.441244673537351,price_intu,intu
2024-10-01,2.330468368068231,2.289386372125576,2.2865511363781943,2.256910250071867,-0.4313648928187747,price_intu,intu
2024-11-19,-0.3917475544175025,-0.3869668285622702,-0.3878234211886576,-0.3772293305704636,-0.3896336440455162,price_snow,snow
2024-11-18,-0.397686288768349,-0.4023695903980398,-0.3954406475144256,-0.3927783017107144,-0.3931989424346583,price_snow,snow
2024-11-15,-0.3859753266372403,-0.3945859883315656,-0.404626126319028,-0.4009124609904897,-0.3770981844641823,price_snow,snow
2024-11-14,-0.3667160666396349,-0.3764425215428121,-0.3726449775542231,-0.3825967690067779,-0.3880133242103463,price_snow,snow
2024-11-13,-0.3982413106702973,-0.363670836461907,-0.3897837367872008,-0.3745179441438719,-0.2983440028207552,price_snow,snow
2024-11-12,-0.4170010509561492,-0.4050006671529044,-0.4066424509346725,-0.4036791818339507,-0.3768595403171535,price_snow,snow
2024-11-11,-0.4213302217913458,-0.4233085762388369,-0.4139796321749342,-0.4145247275403177,-0.4038631923193188,price_snow,snow
2024-11-08,-0.4170010509561492,-0.427200377272074,-0.4253494626464849,-0.428967010343184,-0.3886473380116487,price_snow,snow
2024-11-07,-0.4211082130305665,-0.4164568138563772,-0.4121313346105935,-0.4143033898728408,-0.3931085093061157,price_snow,snow
2024-11-06,-0.43126511383622,-0.4340521396545338,-0.430166238117191,-0.4260342862491154,-0.3810518248982604,price_snow,snow
2024-11-05,-0.4655099651864289,-0.4582251573398518,-0.4590108819243268,-0.4532588193487714,-0.4046362012921317,price_snow,snow
2024-11-04,-0.4585721914120754,-0.4645287787317149,-0.4613632606425787,-0.4685311184046761,-0.4048056494374388,price_snow,snow
2024-11-01,-0.4559635884729185,-0.4597599521135229,-0.4612512426083762,-0.4588475954525626,-0.3922231708012151,price_snow,snow
2024-10-31,-0.4503023650730461,-0.4555392664859277,-0.4578346925652009,-0.4625550013828003,-0.3834540188741103,price_snow,snow
2024-10-30,-0.4433645912986926,-0.4371217292018758,-0.4345349414510873,-0.4394805495483357,-0.3929165475620323,price_snow,snow
2024-10-29,-0.4474717533731098,-0.4458919850514243,-0.4427682669649688,-0.4428006145604889,-0.3993054860798183,price_snow,snow
2024-10-28,-0.4456401810966805,-0.4480297349147517,-0.4410319874348306,-0.4486660627486262,-0.3840990860809178,price_snow,snow
2024-10-25,-0.4594602264551927,-0.4597051380144632,-0.4507775564104453,-0.4558042025247555,-0.4194456886486805,price_snow,snow
2024-10-24,-0.4622908381551289,-0.4637613813448794,-0.457386620428391,-0.4620016572141081,-0.4180634238196369,price_snow,snow
2024-10-23,-0.4572401388473996,-0.4633228685524019,-0.4610832155570725,-0.4692504658239759,-0.4165486724233396,price_snow,snow
